,shops,sum_day,sum_night,mean_day,mean_night,count_day,count_night,overall_cost,night_cost,cost night %
0,BCFS,1184.79,138.31,0.35,0.06,3351.0,2373.0,198.46,20.75,10.46
1,BCFT,63845.35,44733.83,2.66,2.62,23996.0,17105.0,16286.88,6710.07,41.2
2,BCFV,372.06,207.05,0.15,0.11,2561.0,1812.0,86.87,31.06,35.75
3,BCG7,71861.76,33611.6,2.39,1.57,30073.0,21457.0,15821.0,5041.74,31.87
4,BCGE,150112.0,95699.56,5.37,4.82,27940.0,19869.0,36871.73,14354.93,38.93
5,BCGG,31190.54,10798.31,1.68,0.81,18545.0,13266.0,6298.33,1619.75,25.72
6,BCGH,71286.04,50083.88,3.31,3.27,21516.0,15319.0,18205.49,7512.58,41.27
7,BCGI,4034.59,1076.73,1.72,0.65,2343.0,1652.0,766.7,161.51,21.07
8,BCGJ,57438.89,32997.47,2.79,2.25,20575.0,14693.0,13565.45,4949.62,36.49
9,BCGN,18526.09,10845.58,3.27,2.74,5658.0,3962.0,4405.75,1626.84,36.93
10,BCGP,63574.3,46743.51,3.1,3.2,20485.0,14622.0,16547.67,7011.53,42.37
11,BCGR,6855.36,4345.89,0.47,0.41,14740.0,10506.0,1680.19,651.88,38.8
12,BCGU,1246.63,150.37,0.15,0.03,8220.0,5807.0,209.55,22.56,10.77
13,BCGV,14395.65,3020.78,1.43,0.42,10058.0,7173.0,2612.46,453.12,17.34
14,BCGW,146.06,42.48,0.06,0.02,2526.0,1785.0,28.28,6.37,22.52
15,BCGX,248.66,193.28,0.09,0.1,2676.0,1895.0,66.29,28.99,43.73
16,BCGY,2.18,0.0,0.0,0.0,1793.0,1238.0,0.33,0.0,0.0
17,BCH2,10.89,4.84,0.07,0.05,164.0,92.0,2.36,0.73,30.93
